"","going"
"go",0.16
"get",0.14
"might",0.14
"'re",0.13
"ask",0.13
"sure",0.13
"will",0.13
"buses",0.12
"expensive",0.12
"keep",0.12
"make",0.12
"want",0.12
"buy",0.11
"check",0.11
"coming",0.11
"cost",0.11
"driver",0.11
"know",0.11
"leave",0.11
"may",0.11
"need",0.11
"pay",0.11
"quite",0.11
"take",0.11
"taxi",0.11
"usually",0.11
"way",0.11
"'s",0.1
"always",0.1
"another",0.1
"avoid",0.1
"back",0.1
"better",0.1
"bit",0.1
"bus",0.1
"can",0.1
"cheap",0.1
"even",0.1
"find",0.1
"goes",0.1
"leaving",0.1
"people",0.1
"price",0.1
"straight",0.1
"try",0.1
"unless",0.1
"without",0.1
"'ll",0.09
"charge",0.09
"cheaper",0.09
"consider",0.09
"costs",0.09
"depending",0.09
"drivers",0.09
"especially",0.09
"expect",0.09
"getting",0.09
"give",0.09
"least",0.09
"like",0.09
"money",0.09
"much",0.09
"next",0.09
"often",0.09
"places",0.09
"probably",0.09
"really",0.09
"remember",0.09
"ride",0.09
"right",0.09
"say",0.09
"stay",0.09
"tell",0.09
"ticket",0.09
"traffic",0.09
"trip",0.09
"use",0.09
"accept",0.08
"almost",0.08
"anywhere",0.08
"around",0.08
"arrange",0.08
"aware",0.08
"card",0.08
"careful",0.08
"cheapest",0.08
"different",0.08
"difficult",0.08
"dozens",0.08
"either",0.08
"far",0.08
"foreign",0.08
"generally",0.08
"good",0.08
"hard",0.08
"look",0.08
"lot",0.08
"nice",0.08
"note",0.08
"option",0.08
"paying",0.08
"police",0.08
"possible",0.08
"prices",0.08
"rate",0.08
"safe",0.08
"see",0.08
"side",0.08
"something",0.08
"stop",0.08
"taking",0.08
"taxis",0.08
"time",0.08
"towards",0.08
"visa",0.08
"wait",0.08
"worth",0.08
"able",0.07
"anything",0.07
"asking",0.07
"beware",0.07
"buying",0.07
"catch",0.07
"else",0.07
"fares",0.07
"flights",0.07
"idea",0.07
"just",0.07
"left",0.07
"let",0.07
"little",0.07
"mind",0.07
"morning",0.07
"night",0.07
"per",0.07
"pick",0.07
"place",0.07
"pretty",0.07
"put",0.07
"rooms",0.07
"sell",0.07
"sign",0.07
"someone",0.07
"sometimes",0.07
"still",0.07
"takes",0.07
"terminal",0.07
"though",0.07
"tickets",0.07
"waiting",0.07
