"","grill"
"bar",0.21
"ave",0.18
"inn",0.18
"mexican",0.17
"downtown",0.16
"phone",0.16
"restaurant",0.16
"st",0.16
"blvd",0.15
"dr",0.15
"dining",0.14
"pizza",0.14
"street",0.14
"avenue",0.13
"mall",0.13
"rd",0.13
"sports",0.13
"steakhouse",0.13
"suites",0.13
"american",0.12
"casual",0.12
"menu",0.12
"steak",0.12
"bbq",0.11
"featuring",0.11
"live",0.11
"lunch",0.11
"baseball",0.1
"burgers",0.1
"cafe",0.1
"center",0.1
"deli",0.1
"diner",0.1
"dinner",0.1
"house",0.1
"hwy",0.1
"indoor",0.1
"outdoor",0.1
"selection",0.1
"steaks",0.1
"su",0.1
"sushi",0.1
"wings",0.1
"bistro",0.09
"coffee",0.09
"county",0.09
"f-sa",0.09
"favorite",0.09
"fitness",0.09
"free",0.09
"golf",0.09
"gourmet",0.09
"homemade",0.09
"interstate",0.09
"italian",0.09
"jewelry",0.09
"ln",0.09
"lounge",0.09
"marriott",0.09
"miles",0.09
"motel",0.09
"movie",0.09
"sandwiches",0.09
"specials",0.09
"store",0.09
"tavern",0.09
"texas",0.09
"arts",0.08
"breakfast",0.08
"convention",0.08
"creek",0.08
"cuisine",0.08
"family",0.08
"features",0.08
"friday",0.08
"full",0.08
"fun",0.08
"great",0.08
"johnson",0.08
"library",0.08
"music",0.08
"offers",0.08
"park",0.08
"sa",0.08
"seating",0.08
"upscale",0.08
"us",0.08
"amtrak",0.07
"buffet",0.07
"chain",0.07
"club",0.07
"college",0.07
"drive",0.07
"entrees",0.07
"exhibits",0.07
"exit",0.07
"games",0.07
"gift",0.07
"kids",0.07
"pool",0.07
"pub",0.07
"seafood",0.07
"shop",0.07
"state",0.07
"suite",0.07
"theater",0.07
"transit",0.07
"variety",0.07
"west",0.07
