"","try"
"sure",0.2
"ask",0.19
"avoid",0.18
"find",0.18
"good",0.18
"make",0.18
"want",0.18
"food",0.17
"pay",0.17
"price",0.17
"will",0.17
"'re",0.16
"always",0.16
"best",0.16
"buy",0.16
"cheap",0.16
"expensive",0.16
"get",0.16
"nice",0.16
"prices",0.16
"bit",0.15
"drivers",0.15
"especially",0.15
"even",0.15
"expect",0.15
"like",0.15
"may",0.15
"might",0.15
"quite",0.15
"usually",0.15
"driver",0.14
"go",0.14
"locals",0.14
"look",0.14
"money",0.14
"night",0.14
"'ll",0.13
"'s",0.13
"better",0.13
"can",0.13
"check",0.13
"cost",0.13
"delicious",0.13
"dishes",0.13
"drink",0.13
"give",0.13
"keep",0.13
"know",0.13
"much",0.13
"people",0.13
"really",0.13
"sell",0.13
"taxi",0.13
"taxis",0.13
"use",0.13
"worth",0.13
"almost",0.12
"another",0.12
"around",0.12
"careful",0.12
"charge",0.12
"excellent",0.12
"fried",0.12
"friendly",0.12
"hard",0.12
"least",0.12
"little",0.12
"made",0.12
"meat",0.12
"must",0.12
"need",0.12
"offer",0.12
"often",0.12
"probably",0.12
"see",0.12
"something",0.12
"sometimes",0.12
"staff",0.12
"stay",0.12
"without",0.12
"asking",0.11
"authentic",0.11
"bars",0.11
"beer",0.11
"buying",0.11
"cards",0.11
"cheaper",0.11
"clean",0.11
"common",0.11
"decent",0.11
"different",0.11
"dish",0.11
"drinks",0.11
"eat",0.11
"english",0.11
"fresh",0.11
"generally",0.11
"great",0.11
"help",0.11
"insist",0.11
"just",0.11
"local",0.11
"meal",0.11
"mind",0.11
"miss",0.11
"order",0.11
"place",0.11
"places",0.11
"ride",0.11
"safe",0.11
"speak",0.11
"spicy",0.11
"start",0.11
"sweet",0.11
"tasty",0.11
"tell",0.11
"time",0.11
"tourists",0.11
"trip",0.11
"unless",0.11
"visit",0.11
"way",0.11
"accept",0.1
"anything",0.1
"anywhere",0.1
"back",0.1
"beware",0.1
"book",0.1
"bottle",0.1
"budget",0.1
"coffee",0.1
"cooked",0.1
"costs",0.1
"crowded",0.1
"definitely",0.1
"difficult",0.1
"eating",0.1
"enjoy",0.1
"exchange",0.1
"extremely",0.1
"fare",0.1
"foreign",0.1
