"","tickets"
"ticket",0.35
"bought",0.33
"card",0.24
"purchased",0.24
"credit",0.21
"valid",0.2
"machines",0.19
"buy",0.18
"bus",0.17
"cheaper",0.16
"cost",0.16
"sell",0.16
"train",0.16
"costs",0.15
"online",0.15
"price",0.15
"trains",0.15
"vending",0.15
"buses",0.14
"buying",0.14
"expensive",0.14
"inside",0.14
"need",0.14
"prices",0.14
"search",0.14
"sold",0.14
"tram",0.14
"advance",0.13
"fares",0.13
"pay",0.13
"purchase",0.13
"station",0.13
"usually",0.13
"book",0.12
"booked",0.12
"booking",0.12
"departure",0.12
"driver",0.12
"exchange",0.12
"free",0.12
"machine",0.12
"might",0.12
"note",0.12
"office",0.12
"organized",0.12
"return",0.12
"trams",0.12
"transport",0.12
"avoid",0.11
"change",0.11
"day",0.11
"depending",0.11
"directly",0.11
"discount",0.11
"european",0.11
"every",0.11
"kiosks",0.11
"least",0.11
"leave",0.11
"map",0.11
"network",0.11
"often",0.11
"one-way",0.11
"payment",0.11
"read",0.11
"run",0.11
"single",0.11
"staff",0.11
"sure",0.11
"takes",0.11
"times",0.11
"travel",0.11
"unlimited",0.11
"use",0.11
"website",0.11
"accept",0.1
"agents",0.1
"airport",0.1
"ask",0.1
"board",0.1
"cards",0.1
"cheap",0.1
"check",0.1
"days",0.1
"depart",0.1
"discounts",0.1
"drivers",0.1
"entry",0.1
"foreign",0.1
"lines",0.1
"luggage",0.1
"money",0.1
"night",0.1
"operate",0.1
"operates",0.1
"outside",0.1
"public",0.1
"sometimes",0.1
"special",0.1
"start",0.1
"stops",0.1
"student",0.1
"time",0.1
"try",0.1
"want",0.1
"accepted",0.09
"always",0.09
"arrive",0.09
"available",0.09
"better",0.09
"beware",0.09
"can",0.09
"cash",0.09
"charge",0.09
"cheapest",0.09
"class",0.09
"clubs",0.09
"company",0.09
"daily",0.09
"direct",0.09
"electronic",0.09
"english",0.09
"especially",0.09
"even",0.09
"expect",0.09
"fare",0.09
"faster",0.09
"find",0.09
"floor",0.09
"foreigners",0.09
"generally",0.09
"get",0.09
"hour",0.09
"journey",0.09
"know",0.09
"look",0.09
"make",0.09
"may",0.09
"modern",0.09
"next",0.09
"normal",0.09
"offices",0.09
"passengers",0.09
"passport",0.09
"paying",0.09
"prepaid",0.09
"purchasing",0.09
"queue",0.09
"quite",0.09
"rather",0.09
"ride",0.09
"service",0.09
"services",0.09
"slightly",0.09
"stations",0.09
"stop",0.09
"system",0.09
"tend",0.09
"terminal",0.09
"transfer",0.09
"trip",0.09
"unless",0.09
"without",0.09
"zones",0.09
"'ll",0.08
"'re",0.08
"'s",0.08
"additional",0.08
"although",0.08
"another",0.08
"aprhigh",0.08
"aprlow",0.08
"aprprecip",0.08
"arrival",0.08
"arrivals",0.08
"atms",0.08
"aughigh",0.08
"auglow",0.08
"augprecip",0.08
"automatic",0.08
"aware",0.08
"beer",0.08
"building",0.08
"city's",0.08
"coins",0.08
"companies",0.08
"compared",0.08
"counter",0.08
"debit",0.08
"dechigh",0.08
"declow",0.08
"decprecip",0.08
"departs",0.08
"departures",0.08
"different",0.08
"either",0.08
"except",0.08
"extra",0.08
"febhigh",0.08
"feblow",0.08
"febprecip",0.08
"ferries",0.08
"getting",0.08
"give",0.08
"go",0.08
"good",0.08
"helpful",0.08
"higher",0.08
"hours",0.08
"info",0.08
"internet",0.08
"janhigh",0.08
"janlow",0.08
"janprecip",0.08
"journeys",0.08
"julhigh",0.08
"jullow",0.08
"julprecip",0.08
"junhigh",0.08
"junlow",0.08
"junprecip",0.08
"leaves",0.08
"less",0.08
"lockers",0.08
"lot",0.08
"marhigh",0.08
"marprecip",0.08
"mayhigh",0.08
"maylow",0.08
"mayprecip",0.08
"minutes",0.08
"multiple",0.08
"music",0.08
"must",0.08
"novhigh",0.08
"novlow",0.08
"novprecip",0.08
"octhigh",0.08
"octlow",0.08
"octprecip",0.08
"offer",0.08
"ones",0.08
"opposite",0.08
"option",0.08
"parking",0.08
"pedestrian",0.08
"per",0.08
"rate",0.08
"regular",0.08
"seats",0.08
"sephigh",0.08
"seplow",0.08
"sepprecip",0.08
"served",0.08
"shops",0.08
"show",0.08
"simply",0.08
"streets",0.08
"students",0.08
"taxi",0.08
"typically",0.08
"useful",0.08
"visa",0.08
"wait",0.08
"will",0.08
"worth",0.08
"airline",0.07
"asking",0.07
"bars",0.07
"basement",0.07
"bit",0.07
"budget",0.07
"busy",0.07
"careful",0.07
"close",0.07
"concerts",0.07
"confusing",0.07
"crowded",0.07
"dishes",0.07
"domestic",0.07
"entrance",0.07
"fast",0.07
"front",0.07
"going",0.07
"help",0.07
"hostel",0.07
"last",0.07
"leaving",0.07
"likely",0.07
"longer",0.07
"low",0.07
"metric",0.07
"nice",0.07
"normally",0.07
"number",0.07
"open",0.07
"opening",0.07
"paid",0.07
"probably",0.07
"quality",0.07
"railway",0.07
"reduced",0.07
"routes",0.07
"several",0.07
"shuttle",0.07
"similar",0.07
"sleeper",0.07
"stadium",0.07
"subject",0.07
"swedish",0.07
"ticketing",0.07
"tipping",0.07
"tourist",0.07
"traffic",0.07
"travellers",0.07
"travelling",0.07
"using",0.07
"vary",0.07
"waiting",0.07
"walk",0.07
