"","bags"
"plastic",0.17
"baggage",0.11
"carrying",0.11
"luggage",0.11
"pay",0.11
"price",0.11
"allowed",0.1
"expensive",0.1
"leave",0.1
"money",0.1
"paying",0.1
"valuables",0.1
"wait",0.1
"avoid",0.09
"cards",0.09
"carry",0.09
"driver",0.09
"drivers",0.09
"expect",0.09
"prices",0.09
"sell",0.09
"sleeping",0.09
"tipping",0.09
"visas",0.09
"women",0.09
"always",0.08
"ask",0.08
"asking",0.08
"atms",0.08
"aware",0.08
"bag",0.08
"beware",0.08
"buy",0.08
"charge",0.08
"cheaper",0.08
"currency",0.08
"departure",0.08
"even",0.08
"fee",0.08
"foreigners",0.08
"give",0.08
"hand",0.08
"insist",0.08
"keep",0.08
"let",0.08
"likely",0.08
"make",0.08
"may",0.08
"note",0.08
"passengers",0.08
"passport",0.08
"per",0.08
"person",0.08
"police",0.08
"refuse",0.08
"security",0.08
"shared",0.08
"sold",0.08
"talking",0.08
"taxis",0.08
"ticket",0.08
"touts",0.08
"try",0.08
"unless",0.08
"usually",0.08
"vendors",0.08
"visa",0.08
"wear",0.08
"'re",0.07
"accept",0.07
"anything",0.07
"cameras",0.07
"cause",0.07
"change",0.07
"cost",0.07
"decide",0.07
"drinks",0.07
"especially",0.07
"offer",0.07
"queue",0.07
"remove",0.07
"rice",0.07
"sim",0.07
"sure",0.07
"want",0.07
"wary",0.07
"will",0.07
