"","shops"
"selling",0.19
"shopping",0.18
"sell",0.15
"bars",0.14
"many",0.14
"shop",0.14
"food",0.13
"pubs",0.13
"souvenir",0.13
"streets",0.13
"variety",0.13
"buy",0.12
"find",0.12
"walk",0.12
"around",0.11
"boutiques",0.11
"clothing",0.11
"coffee",0.11
"good",0.11
"offer",0.11
"prices",0.11
"selection",0.11
"stores",0.11
"street",0.11
"best",0.1
"better",0.1
"bought",0.1
"cafes",0.1
"drinks",0.1
"excellent",0.1
"high",0.1
"hotels",0.1
"look",0.1
"lots",0.1
"market",0.1
"number",0.1
"open",0.1
"plenty",0.1
"price",0.1
"quality",0.1
"tend",0.1
"walking",0.1
"also",0.09
"always",0.09
"authentic",0.09
"bar",0.09
"can",0.09
"card",0.09
"centre",0.09
"cheaper",0.09
"check",0.09
"clothes",0.09
"credit",0.09
"especially",0.09
"expensive",0.09
"fashion",0.09
"found",0.09
"generally",0.09
"including",0.09
"inside",0.09
"items",0.09
"just",0.09
"local",0.09
"looking",0.09
"night",0.09
"offering",0.09
"opened",0.09
"outside",0.09
"parking",0.09
"places",0.09
"popular",0.09
"range",0.09
"serve",0.09
"several",0.09
"tourist",0.09
"try",0.09
"well",0.09
"wide",0.09
"antique",0.08
"atmosphere",0.08
"available",0.08
"book",0.08
"boutique",0.08
"busy",0.08
"cheap",0.08
"cinema",0.08
"crowded",0.08
"easy",0.08
"enjoy",0.08
"every",0.08
"everything",0.08
"expect",0.08
"feel",0.08
"free",0.08
"friendly",0.08
"full",0.08
"great",0.08
"internet",0.08
"like",0.08
"lined",0.08
"main",0.08
"mall",0.08
"minutes",0.08
"modern",0.08
"music",0.08
"next",0.08
"nice",0.08
"note",0.08
"offers",0.08
"often",0.08
"opposite",0.08
"options",0.08
"outlets",0.08
"pedestrian",0.08
"quite",0.08
"restaurant",0.08
"right",0.08
"short",0.08
"small",0.08
"sure",0.08
"tickets",0.08
"various",0.08
"want",0.08
"watch",0.08
"will",0.08
"worth",0.08
"'re",0.07
"'s",0.07
"affordable",0.07
"along",0.07
"although",0.07
"anything",0.07
"art",0.07
"avoid",0.07
"away",0.07
"beer",0.07
"beware",0.07
"bikes",0.07
"business",0.07
"cards",0.07
"clubs",0.07
"designer",0.07
"eat",0.07
"even",0.07
"floor",0.07
"gift",0.07
"go",0.07
"italian",0.07
"little",0.07
"live",0.07
"locals",0.07
"markets",0.07
"month",0.07
"pay",0.07
"place",0.07
"pub",0.07
"purchase",0.07
"sit",0.07
"something",0.07
"souvenirs",0.07
"square",0.07
"stalls",0.07
"things",0.07
"ticket",0.07
"top",0.07
"upmarket",0.07
"usual",0.07
"usually",0.07
"young",0.07
