"","take"
"get",0.25
"will",0.25
"can",0.24
"bus",0.21
"go",0.2
"right",0.18
"turn",0.18
"left",0.17
"exit",0.16
"follow",0.16
"reach",0.16
"taxi",0.16
"walk",0.16
"cost",0.15
"around",0.14
"ask",0.14
"ride",0.14
"trip",0.14
"continue",0.13
"leave",0.13
"need",0.13
"station",0.13
"takes",0.13
"train",0.13
"want",0.13
"driver",0.12
"find",0.12
"make",0.12
"onto",0.12
"option",0.12
"see",0.12
"straight",0.12
"sure",0.12
"towards",0.12
"way",0.12
"'ll",0.11
"another",0.11
"buses",0.11
"change",0.11
"costs",0.11
"either",0.11
"going",0.11
"head",0.11
"hours",0.11
"leaves",0.11
"may",0.11
"pay",0.11
"buy",0.1
"hour",0.1
"just",0.1
"minutes",0.1
"nice",0.1
"stop",0.1
"taking",0.1
"try",0.1
"visit",0.1
"'s",0.09
"back",0.09
"better",0.09
"catch",0.09
"come",0.09
"coming",0.09
"direction",0.09
"directly",0.09
"enjoy",0.09
"entrance",0.09
"getting",0.09
"good",0.09
"keep",0.09
"leaving",0.09
"little",0.09
"locals",0.09
"look",0.09
"next",0.09
"possible",0.09
"price",0.09
"rent",0.09
"signs",0.09
"terminal",0.09
"ticket",0.09
"tour",0.09
"toward",0.09
"'re",0.08
"also",0.08
"arrange",0.08
"best",0.08
"bit",0.08
"boat",0.08
"bring",0.08
"charge",0.08
"cheaper",0.08
"day",0.08
"depending",0.08
"drivers",0.08
"even",0.08
"every",0.08
"expensive",0.08
"fee",0.08
"guide",0.08
"hike",0.08
"journey",0.08
"morning",0.08
"per",0.08
"person",0.08
"pick",0.08
"prices",0.08
"quite",0.08
"really",0.08
"side",0.08
"start",0.08
"stay",0.08
"staying",0.08
"switch",0.08
"taxis",0.08
"time",0.08
"top",0.08
"usually",0.08
"wait",0.08
"always",0.07
"arrive",0.07
"car",0.07
"cheap",0.07
"cross",0.07
"drop",0.07
"ferry",0.07
"food",0.07
"heading",0.07
"local",0.07
"lot",0.07
"might",0.07
"much",0.07
"night",0.07
"past",0.07
"place",0.07
"sell",0.07
"sit",0.07
"stroll",0.07
"tell",0.07
"transfer",0.07
"walking",0.07
"watch",0.07
