"","catering"
"self",0.46
"sleeps",0.16
"holiday",0.15
"cottage",0.14
"cottages",0.12
"farmhouse",0.12
"chalets",0.09
"wales",0.09
"apartments",0.08
"lodge",0.08
"views",0.08
"per",0.07
"range",0.07
