"","agree"
"driver",0.15
"price",0.15
"pay",0.13
"drivers",0.12
"ask",0.1
"avoid",0.1
"insist",0.1
"prices",0.1
"taxi",0.1
"taxis",0.1
"always",0.09
"expensive",0.09
"fare",0.09
"sure",0.09
"try",0.09
"women",0.09
"aggressive",0.08
"agreed",0.08
"anything",0.08
"attention",0.08
"bargain",0.08
"better",0.08
"charge",0.08
"cheap",0.08
"cheaper",0.08
"cost",0.08
"currency",0.08
"exchange",0.08
"expect",0.08
"metered",0.08
"money",0.08
"negotiate",0.08
"operators",0.08
"payment",0.08
"police",0.08
"rate",0.08
"refuse",0.08
"security",0.08
"thus",0.08
"touts",0.08
"visa",0.08
"wait",0.08
"want",0.08
"will",0.08
"asking",0.07
"buy",0.07
"demand",0.07
"exactly",0.07
"fixed",0.07
"foreign",0.07
"foreigners",0.07
"generally",0.07
"give",0.07
"know",0.07
"make",0.07
"may",0.07
"mixed",0.07
"paying",0.07
"reputable",0.07
"sell",0.07
"usually",0.07
