"","urban"
"areas",0.14
"cities",0.12
"populous",0.12
"diverse",0.11
"rural",0.11
"centers",0.1
"core",0.1
"crime",0.1
"densely",0.1
"industrial",0.1
"largest",0.1
"shopping",0.1
"suburban",0.1
"suburbs",0.1
"system",0.1
"tree-lined",0.1
"avoid",0.09
"city",0.09
"common",0.09
"cultural",0.09
"culture",0.09
"especially",0.09
"immigrant",0.09
"metro",0.09
"often",0.09
"parts",0.09
"politics",0.09
"population",0.09
"among",0.08
"capital",0.08
"central",0.08
"city's",0.08
"companies",0.08
"countries",0.08
"district",0.08
"generally",0.08
"greater",0.08
"growth",0.08
"larger",0.08
"major",0.08
"million",0.08
"mostly",0.08
"much",0.08
"nightlife",0.08
"regions",0.08
"smaller",0.08
"streets",0.08
"tend",0.08
"united",0.08
"university",0.08
"violent",0.08
"almost",0.07
"card",0.07
"changes",0.07
"considered",0.07
"districts",0.07
"drivers",0.07
"economic",0.07
"financial",0.07
"home",0.07
"latin",0.07
"lines",0.07
"network",0.07
"parks",0.07
"part",0.07
"routes",0.07
"second",0.07
"similar",0.07
"state's",0.07
"terms",0.07
"traffic",0.07
