"","just"
"outside",0.19
"'ll",0.14
"'s",0.14
"find",0.14
"right",0.14
"walk",0.14
"want",0.14
"will",0.14
"ask",0.13
"good",0.13
"'re",0.12
"best",0.12
"even",0.12
"friendly",0.12
"get",0.12
"little",0.12
"look",0.12
"really",0.12
"bit",0.11
"food",0.11
"great",0.11
"make",0.11
"might",0.11
"minutes",0.11
"next",0.11
"nice",0.11
"past",0.11
"place",0.11
"prices",0.11
"try",0.11
"worth",0.11
"across",0.1
"always",0.1
"around",0.1
"away",0.1
"back",0.1
"bars",0.1
"behind",0.1
"excellent",0.1
"go",0.1
"know",0.1
"like",0.1
"looking",0.1
"may",0.1
"much",0.1
"need",0.1
"night",0.1
"offer",0.1
"opposite",0.1
"probably",0.1
"quite",0.1
"see",0.1
"side",0.1
"stay",0.1
"sure",0.1
"take",0.1
"another",0.09
"atmosphere",0.09
"better",0.09
"can",0.09
"cheap",0.09
"check",0.09
"couple",0.09
"easy",0.09
"end",0.09
"expect",0.09
"expensive",0.09
"head",0.09
"left",0.09
"pay",0.09
"pretty",0.09
"price",0.09
"restaurant",0.09
"rooms",0.09
"shops",0.09
"short",0.09
"sit",0.09
"something",0.09
"staff",0.09
"usually",0.09
"way",0.09
"along",0.08
"anything",0.08
"beer",0.08
"buy",0.08
"choice",0.08
"come",0.08
"day",0.08
"drink",0.08
"driver",0.08
"drivers",0.08
"either",0.08
"enjoy",0.08
"every",0.08
"everything",0.08
"far",0.08
"feel",0.08
"free",0.08
"inside",0.08
"keep",0.08
"large",0.08
"leave",0.08
"locals",0.08
"offers",0.08
"often",0.08
"open",0.08
"option",0.08
"parking",0.08
"perfect",0.08
"pick",0.08
"plenty",0.08
"popular",0.08
"reasonable",0.08
"ride",0.08
"room",0.08
"run",0.08
"selection",0.08
"sell",0.08
"set",0.08
"start",0.08
"still",0.08
"time",0.08
"top",0.08
"usual",0.08
"walking",0.08
"well",0.08
"without",0.08
"almost",0.07
"although",0.07
"anywhere",0.07
"bar",0.07
"blocks",0.07
"clean",0.07
"corner",0.07
"cost",0.07
"costs",0.07
"definitely",0.07
"directly",0.07
"drinks",0.07
"fresh",0.07
"full",0.07
"fun",0.07
"going",0.07
"hard",0.07
"internet",0.07
"located",0.07
"lunch",0.07
"menu",0.07
"mind",0.07
"money",0.07
"north",0.07
"note",0.07
"number",0.07
"people",0.07
"places",0.07
"rather",0.07
"sign",0.07
"sometimes",0.07
"stop",0.07
"taking",0.07
"taxi",0.07
"taxis",0.07
"things",0.07
"traffic",0.07
"views",0.07
