"","paved"
"dirt",0.12
"roads",0.1
"trail",0.09
"novprecip",0.08
"aprhigh",0.07
"aprlow",0.07
"aprprecip",0.07
"aughigh",0.07
"auglow",0.07
"augprecip",0.07
"dechigh",0.07
"declow",0.07
"decprecip",0.07
"febhigh",0.07
"feblow",0.07
"febprecip",0.07
"janhigh",0.07
"janlow",0.07
"janprecip",0.07
"julhigh",0.07
"jullow",0.07
"julprecip",0.07
"junhigh",0.07
"junlow",0.07
"junprecip",0.07
"marhigh",0.07
"marprecip",0.07
"mayhigh",0.07
"maylow",0.07
"mayprecip",0.07
"metric",0.07
"novhigh",0.07
"novlow",0.07
"octhigh",0.07
"octlow",0.07
"octprecip",0.07
"road",0.07
"sephigh",0.07
"seplow",0.07
"sepprecip",0.07
"unpaved",0.07
