"","norway"
"norwegian",0.47
"sweden",0.18
"arctic",0.14
"viking",0.13
"iconic",0.09
"instance",0.09
"swedish",0.09
"airport",0.08
"alpine",0.08
"flights",0.08
"operated",0.08
"nordic",0.07
"summertime",0.07
