"","bottles"
"bottle",0.15
"plastic",0.12
"beer",0.1
"fill",0.1
"legs",0.1
"ask",0.09
"avoid",0.09
"buy",0.09
"currency",0.09
"drink",0.09
"drinks",0.09
"pay",0.09
"paying",0.09
"prices",0.09
"sell",0.09
"visa",0.09
"alcohol",0.08
"always",0.08
"bottled",0.08
"cheap",0.08
"cheaper",0.08
"countries",0.08
"exchange",0.08
"expensive",0.08
"foreign",0.08
"keep",0.08
"know",0.08
"similar",0.08
"advance",0.07
"brands",0.07
"charging",0.07
"drinking",0.07
"even",0.07
"expect",0.07
"foreigners",0.07
"give",0.07
"often",0.07
"passport",0.07
"price",0.07
"sometimes",0.07
"tap",0.07
"try",0.07
"want",0.07
"wine",0.07
