"","decorated"
"facade",0.13
"nicely",0.13
"painting",0.12
"paintings",0.12
"built",0.11
"frescoes",0.11
"rooms",0.11
"walls",0.11
"building",0.1
"courtyard",0.1
"interior",0.1
"style",0.1
"altar",0.09
"baroque",0.09
"ceiling",0.09
"decoration",0.09
"inside",0.09
"marble",0.09
"cathedral",0.08
"century",0.08
"ceramic",0.08
"chapel",0.08
"decorative",0.08
"elaborate",0.08
"entrance",0.08
"exhibition",0.08
"floor",0.08
"made",0.08
"monumental",0.08
"objects",0.08
"palace",0.08
"reign",0.08
"room",0.08
"wall",0.08
"works",0.08
"art",0.07
"church",0.07
"collection",0.07
"depicting",0.07
"double",0.07
"front",0.07
"late",0.07
"modern",0.07
"old",0.07
"pictures",0.07
"pillars",0.07
"rebuilt",0.07
"religious",0.07
"supported",0.07
"terrace",0.07
"wooden",0.07
