"","trip"
"day",0.2
"takes",0.2
"cost",0.17
"costs",0.17
"will",0.17
"make",0.16
"trips",0.16
"boat",0.15
"driver",0.15
"return",0.15
"take",0.14
"ask",0.13
"can",0.13
"hours",0.13
"leave",0.13
"pay",0.13
"around",0.12
"depending",0.12
"get",0.12
"may",0.12
"per",0.12
"price",0.12
"round",0.12
"see",0.12
"sure",0.12
"taxi",0.12
"ticket",0.12
"tour",0.12
"arrange",0.11
"back",0.11
"bus",0.11
"buy",0.11
"leaves",0.11
"prices",0.11
"ride",0.11
"travel",0.11
"try",0.11
"want",0.11
"way",0.11
"book",0.1
"cheaper",0.1
"even",0.1
"expect",0.1
"expensive",0.1
"go",0.1
"guide",0.1
"hour",0.1
"leaving",0.1
"makes",0.1
"might",0.1
"need",0.1
"option",0.1
"possible",0.1
"quite",0.1
"staff",0.1
"walk",0.1
"without",0.1
"worth",0.1
"'ll",0.09
"able",0.09
"advance",0.09
"avoid",0.09
"better",0.09
"bit",0.09
"boats",0.09
"bring",0.09
"buses",0.09
"catch",0.09
"charge",0.09
"check",0.09
"drivers",0.09
"either",0.09
"fare",0.09
"ferry",0.09
"getting",0.09
"going",0.09
"good",0.09
"guides",0.09
"longer",0.09
"morning",0.09
"one-way",0.09
"operators",0.09
"overnight",0.09
"person",0.09
"plan",0.09
"short",0.09
"sometimes",0.09
"start",0.09
"stay",0.09
"tickets",0.09
"time",0.09
"tourist",0.09
"usually",0.09
"visit",0.09
"agencies",0.08
"always",0.08
"another",0.08
"arrive",0.08
"atms",0.08
"best",0.08
"change",0.08
"cheap",0.08
"clean",0.08
"depart",0.08
"departure",0.08
"especially",0.08
"every",0.08
"experience",0.08
"extra",0.08
"find",0.08
"give",0.08
"half",0.08
"journey",0.08
"least",0.08
"locals",0.08
"money",0.08
"much",0.08
"nice",0.08
"night",0.08
"note",0.08
"offer",0.08
"passengers",0.08
"private",0.08
"run",0.08
"sell",0.08
"shared",0.08
"spend",0.08
"taking",0.08
"taxis",0.08
"terminal",0.08
"times",0.08
"tourists",0.08
"two",0.08
"unless",0.08
"visa",0.08
"wait",0.08
"'re",0.07
"'s",0.07
"booked",0.07
"budget",0.07
"charging",0.07
"common",0.07
"couple",0.07
"diving",0.07
"done",0.07
"duration",0.07
"english",0.07
"hire",0.07
"know",0.07
"less",0.07
"little",0.07
"look",0.07
"map",0.07
"one",0.07
"people",0.07
"pick",0.07
"remember",0.07
"side",0.07
"single",0.07
"stop",0.07
"top",0.07
"tours",0.07
"views",0.07
"waiting",0.07
