"","salad"
"menu",0.13
"fried",0.11
"chicken",0.1
"lunch",0.1
"potato",0.1
"steak",0.1
"tasty",0.1
"assortment",0.09
"bar",0.09
"buffet",0.09
"fresh",0.09
"soup",0.09
"styles",0.09
"variety",0.09
"baked",0.08
"beef",0.08
"classes",0.08
"coffee",0.08
"cooking",0.08
"dinner",0.08
"dishes",0.08
"food",0.08
"grilled",0.08
"meat",0.08
"pizza",0.08
"restaurant",0.08
"atmosphere",0.07
"call",0.07
"drinks",0.07
"friendly",0.07
"homemade",0.07
"meal",0.07
"pork",0.07
"salads",0.07
"sauce",0.07
"served",0.07
"sour",0.07
"thai",0.07
"vegetarian",0.07
