"","relaxed"
"atmosphere",0.15
"friendly",0.14
"bar",0.11
"food",0.1
"menu",0.1
"selection",0.1
"bars",0.09
"excellent",0.09
"fresh",0.09
"great",0.09
"quiet",0.09
"restaurant",0.09
"staff",0.09
"vegetarian",0.09
"cheap",0.08
"cocktails",0.08
"good",0.08
"looking",0.08
"music",0.08
"perfect",0.08
"prices",0.08
"back",0.07
"balconies",0.07
"beach",0.07
"beers",0.07
"busy",0.07
"chill",0.07
"crowd",0.07
"dining",0.07
"dishes",0.07
"enjoy",0.07
"juices",0.07
"night",0.07
"offer",0.07
"offering",0.07
"party",0.07
"pool",0.07
"rooms",0.07
"tables",0.07
"want",0.07
