"","les"
"des",0.33
"du",0.28
"rue",0.2
"la",0.17
"de",0.16
"le",0.16
"et",0.14
"french",0.13
"lift",0.12
"france",0.11
"ski",0.11
"au",0.09
"paris",0.09
"chalets",0.08
"jean",0.08
"saint",0.07
