"","seating"
"outdoor",0.19
"dining",0.13
"sandwiches",0.13
"bar",0.12
"casual",0.12
"dinner",0.12
"food",0.12
"indoor",0.12
"patio",0.12
"restaurant",0.12
"atmosphere",0.11
"live",0.11
"menu",0.11
"selection",0.11
"capacity",0.1
"lounge",0.1
"lunch",0.1
"music",0.1
"tables",0.1
"breakfast",0.09
"cafe",0.09
"coffee",0.09
"crowd",0.09
"dishes",0.09
"downtown",0.09
"entrees",0.09
"featuring",0.09
"free",0.09
"italian",0.09
"marriott",0.09
"open",0.09
"serves",0.09
"stadium",0.09
"store",0.09
"street",0.09
"ave",0.08
"bite",0.08
"business",0.08
"cuisine",0.08
"delivery",0.08
"drinks",0.08
"events",0.08
"excellent",0.08
"f-sa",0.08
"family",0.08
"floor",0.08
"fresh",0.08
"friendly",0.08
"full",0.08
"grill",0.08
"happy",0.08
"offers",0.08
"order",0.08
"outside",0.08
"parking",0.08
"pasta",0.08
"pub",0.08
"quality",0.08
"right",0.08
"sa",0.08
"serving",0.08
"shop",0.08
"shopping",0.08
"soda",0.08
"specials",0.08
"style",0.08
"su",0.08
"suites",0.08
"sushi",0.08
"table",0.08
"take-",0.08
"theatre",0.08
"upstairs",0.08
"variety",0.08
"venue",0.08
"arts",0.07
"bakery",0.07
"beers",0.07
"call",0.07
"customers",0.07
"deli",0.07
"front",0.07
"great",0.07
"house",0.07
"performers",0.07
"plus",0.07
"prices",0.07
"room",0.07
"st",0.07
