"","monday"
"friday",0.31
"saturday",0.29
"sunday",0.25
"tuesday",0.2
"thursday",0.19
"open",0.17
"wednesday",0.17
"closed",0.16
"sundays",0.15
"saturdays",0.12
"-site",0.11
"street",0.11
"admission",0.1
"lunch",0.1
"free",0.09
"live",0.09
"pm",0.09
"thru",0.09
"april",0.08
"art",0.08
"arts",0.08
"bar",0.08
"closing",0.08
"dinner",0.08
"phone",0.08
"st",0.08
"virginia",0.08
"avenue",0.07
"breakfast",0.07
"every",0.07
"fridays",0.07
"gourmet",0.07
"indoor",0.07
"inn",0.07
"menu",0.07
"mondays",0.07
"music",0.07
"service",0.07
"theatre",0.07
