"","rd"
"st",0.28
"dr",0.26
"inn",0.24
"ave",0.22
"phone",0.2
"restaurant",0.17
"ln",0.16
"su",0.16
"hwy",0.15
"suites",0.15
"blvd",0.14
"f-sa",0.14
"mall",0.14
"motel",0.14
"baht",0.13
"dining",0.13
"golf",0.13
"grill",0.13
"house",0.13
"park",0.13
"pizza",0.13
"pkwy",0.13
"sa",0.13
"bar",0.12
"downtown",0.12
"free",0.12
"indoor",0.12
"thai",0.12
"bangkok",0.11
"bistro",0.11
"breakfast",0.11
"cafe",0.11
"county",0.11
"creek",0.11
"deli",0.11
"diner",0.11
"marriott",0.11
"store",0.11
"tavern",0.11
"winery",0.11
"acres",0.1
"bed",0.1
"club",0.1
"course",0.1
"dinner",0.1
"exit",0.1
"family",0.1
"library",0.1
"lunch",0.1
"menu",0.1
"picnic",0.1
"road",0.1
"sandwiches",0.1
"shop",0.1
"steakhouse",0.1
"acre",0.09
"american",0.09
"antiques",0.09
"arts",0.09
"bbq",0.09
"buffet",0.09
"center",0.09
"coffee",0.09
"drive",0.09
"farm",0.09
"features",0.09
"fitness",0.09
"hill",0.09
"interstate",0.09
"mexican",0.09
"mile",0.09
"miles",0.09
"new",0.09
"onto",0.09
"pub",0.09
"right",0.09
"shopping",0.09
"street",0.09
"vineyard",0.09
"west",0.09
"wireless",0.09
"air-con",0.08
"bakery",0.08
"brunch",0.08
"casual",0.08
"corner",0.08
"featuring",0.08
"food",0.08
"fun",0.08
"gourmet",0.08
"grove",0.08
"lane",0.08
"live",0.08
"lodge",0.08
"lounge",0.08
"m-f",0.08
"mi",0.08
"north",0.08
"outdoor",0.08
"pa",0.08
"parkway",0.08
"pets",0.08
"rv",0.08
"seafood",0.08
"state",0.08
"steak",0.08
"suite",0.08
"thailand",0.08
"transit",0.08
"upscale",0.08
"wi-fi",0.08
"banquet",0.07
"broadway",0.07
"businesses",0.07
"call",0.07
"college",0.07
"conference",0.07
"convention",0.07
"court",0.07
"cream",0.07
"east",0.07
"gallery",0.07
"heated",0.07
"historic",0.07
"mill",0.07
"open",0.07
"performing",0.07
"selection",0.07
"trail",0.07
"turn",0.07
"york",0.07
