"","amenities"
"include",0.18
"suites",0.14
"florida",0.13
"fitness",0.12
"offers",0.12
"-room",0.11
"business",0.1
"dining",0.1
"features",0.1
"free",0.1
"rooms",0.1
"spacious",0.1
"cable",0.09
"dvd",0.09
"equipped",0.09
"internet",0.09
"pool",0.09
"private",0.09
"property",0.09
"room",0.09
"wireless",0.09
"activities",0.08
"breakfast",0.08
"facilities",0.08
"golf",0.08
"guests",0.08
"high-speed",0.08
"hotel",0.08
"indoor",0.08
"inn",0.08
"laundry",0.08
"lcd",0.08
"luxury",0.08
"outdoor",0.08
"park",0.08
"rates",0.08
"swimming",0.08
"variety",0.08
"access",0.07
"full",0.07
"jacuzzi",0.07
"resort",0.07
"tobacco",0.07
