"","scotland"
"scottish",0.43
"forth",0.18
"highland",0.16
"belt",0.15
"trust",0.14
"britain",0.11
"england",0.11
"william",0.11
"glen",0.1
"uk",0.1
"bringing",0.09
"robert",0.08
"abbey",0.07
"castle'''",0.07
"highlands",0.07
"services",0.07
