"","luis"
"san",0.17
"california",0.14
"shell",0.14
"dunes",0.12
"filmed",0.12
"los",0.11
"'''san",0.1
"francisco",0.1
"maria",0.1
"miguel",0.1
"mission",0.1
"santa",0.09
"de",0.08
"mexican",0.08
"coast",0.07
"pacific",0.07
"proof",0.07
