"","piazza"
"della",0.41
"di",0.39
"dei",0.29
"roma",0.24
"del",0.19
"il",0.19
"rome",0.19
"italy",0.16
"maria",0.15
"via",0.15
"san",0.14
"villa",0.14
"italian",0.13
"monte",0.13
"romanesque",0.12
"elegant",0.11
"medieval",0.11
"ristorante",0.11
"'''san",0.1
"frescoes",0.1
"roman",0.1
"euros",0.09
"al",0.08
"closed",0.08
"francis",0.08
"pizzeria",0.08
"position",0.08
"walls",0.08
"wine",0.08
"casa",0.07
"cathedral",0.07
"euro",0.07
"fax",0.07
"palaces",0.07
"patron",0.07
"walled",0.07
