"","rafting"
"whitewater",0.31
"adventures",0.14
"river",0.14
"adventure",0.12
"rapids",0.12
"canyon",0.11
"kayaking",0.11
"trips",0.1
"mountain",0.09
"rivers",0.09
"fork",0.08
"gorge",0.08
"trekking",0.08
