"","dining"
"casual",0.24
"fine",0.21
"menu",0.19
"offers",0.18
"outdoor",0.18
"restaurant",0.18
"bar",0.17
"dinner",0.17
"indoor",0.17
"inn",0.17
"lunch",0.17
"features",0.16
"featuring",0.16
"gourmet",0.16
"patio",0.16
"room",0.16
"upscale",0.16
"breakfast",0.15
"downtown",0.15
"lounge",0.15
"variety",0.15
"chef",0.14
"cuisine",0.14
"full",0.14
"grill",0.14
"live",0.14
"american",0.13
"family",0.13
"fitness",0.13
"free",0.13
"golf",0.13
"rd",0.13
"seating",0.13
"street",0.13
"suites",0.13
"atmosphere",0.12
"blvd",0.12
"classic",0.12
"fun",0.12
"great",0.12
"italian",0.12
"music",0.12
"pool",0.12
"sandwiches",0.12
"selection",0.12
"shopping",0.12
"st",0.12
"arts",0.11
"authentic",0.11
"ave",0.11
"avenue",0.11
"boutique",0.11
"cafe",0.11
"club",0.11
"enjoy",0.11
"experience",0.11
"favorite",0.11
"food",0.11
"fresh",0.11
"homemade",0.11
"intimate",0.11
"mall",0.11
"mexican",0.11
"open",0.11
"phone",0.11
"pizza",0.11
"seafood",0.11
"tennis",0.11
"amenities",0.1
"buffet",0.1
"business",0.1
"deli",0.1
"delicious",0.1
"dine",0.1
"diner",0.1
"dr",0.1
"eclectic",0.1
"elegant",0.1
"entrees",0.1
"friendly",0.1
"grille",0.1
"guests",0.1
"house",0.1
"include",0.1
"kitchen",0.1
"movie",0.1
"offer",0.1
"parking",0.1
"private",0.1
"serves",0.1
"service",0.1
"shop",0.1
"specials",0.1
"sports",0.1
"store",0.1
"stores",0.1
"style",0.1
"sushi",0.1
"wine",0.1
"affordable",0.09
"appetizers",0.09
"art",0.09
"award",0.09
"baked",0.09
"basketball",0.09
"bed",0.09
"bistro",0.09
"brunch",0.09
"clothing",0.09
"coffee",0.09
"complete",0.09
"conference",0.09
"course",0.09
"deck",0.09
"events",0.09
"excellent",0.09
"friday",0.09
"gift",0.09
"historic",0.09
"home",0.09
"including",0.09
"items",0.09
"jewelry",0.09
"located",0.09
"lodging",0.09
"luxury",0.09
"meeting",0.09
"miles",0.09
"pasta",0.09
"pet",0.09
"picnic",0.09
"provides",0.09
"pub",0.09
"rooms",0.09
"salads",0.09
"seasonal",0.09
"serving",0.09
"signature",0.09
"specialty",0.09
"steak",0.09
"table",0.09
"tavern",0.09
"unique",0.09
"acres",0.08
"amtrak",0.08
"available",0.08
"banquet",0.08
"beers",0.08
"boutiques",0.08
"chain",0.08
"chicken",0.08
"children's",0.08
"cocktail",0.08
"convention",0.08
"corner",0.08
"court",0.08
"cozy",0.08
"designed",0.08
"drive",0.08
"equipped",0.08
"finest",0.08
"gallery",0.08
"gifts",0.08
"heated",0.08
"hot",0.08
"includes",0.08
"lodge",0.08
"looking",0.08
"new",0.08
"offering",0.08
"options",0.08
"owned",0.08
"park",0.08
"play",0.08
"property",0.08
"quaint",0.08
"renovated",0.08
"rental",0.08
"retail",0.08
"saturday",0.08
"screen",0.08
"spacious",0.08
"suite",0.08
"sunday",0.08
"swimming",0.08
"take-",0.08
"throughout",0.08
"voted",0.08
"washington",0.08
"waterfront",0.08
"wide",0.08
"wireless",0.08
"activities",0.07
"addition",0.07
"antique",0.07
"bedroom",0.07
"canadian",0.07
"choose",0.07
"custom",0.07
"deluxe",0.07
"exit",0.07
"extensive",0.07
"feature",0.07
"freshest",0.07
"furnished",0.07
"games",0.07
"high-end",0.07
"kids",0.07
"large",0.07
"locations",0.07
"musical",0.07
"nightly",0.07
"perfect",0.07
"plays",0.07
"plus",0.07
"programs",0.07
"public",0.07
"relaxed",0.07
"rentals",0.07
"resort",0.07
"right",0.07
"romantic",0.07
"shuttle",0.07
"steakhouse",0.07
"tables",0.07
"thursday",0.07
"tours",0.07
"visitors",0.07
"winning",0.07
"york",0.07
