"","sold"
"tickets",0.14
"buy",0.12
"alcohol",0.11
"bought",0.11
"drinks",0.11
"sell",0.11
"turquoise",0.11
"usually",0.11
"always",0.1
"buying",0.1
"expensive",0.1
"made",0.1
"might",0.1
"pay",0.1
"plastic",0.1
"prices",0.1
"sometimes",0.1
"try",0.1
"ask",0.09
"avoid",0.09
"bottled",0.09
"card",0.09
"cards",0.09
"cheap",0.09
"cheaper",0.09
"cost",0.09
"cover",0.09
"drink",0.09
"especially",0.09
"even",0.09
"expect",0.09
"foreigners",0.09
"jewellery",0.09
"keep",0.09
"like",0.09
"may",0.09
"never",0.09
"note",0.09
"prepaid",0.09
"price",0.09
"ticket",0.09
"time",0.09
"used",0.09
"valid",0.09
"women",0.09
"'re",0.08
"accept",0.08
"allow",0.08
"another",0.08
"bags",0.08
"called",0.08
"charge",0.08
"chicken",0.08
"citizens",0.08
"common",0.08
"consider",0.08
"costs",0.08
"countries",0.08
"credit",0.08
"different",0.08
"driver",0.08
"drivers",0.08
"european",0.08
"exchange",0.08
"foreign",0.08
"found",0.08
"generally",0.08
"goods",0.08
"insist",0.08
"insurance",0.08
"locals",0.08
"money",0.08
"notes",0.08
"official",0.08
"often",0.08
"passport",0.08
"paying",0.08
"police",0.08
"purchasing",0.08
"sim",0.08
"soft",0.08
"sour",0.08
"sure",0.08
"sweet",0.08
"use",0.08
"visa",0.08
"want",0.08
"without",0.08
"accepted",0.07
"advance",0.07
"although",0.07
"bottle",0.07
"brands",0.07
"compared",0.07
"currency",0.07
"embassy",0.07
"find",0.07
"give",0.07
"higher",0.07
"items",0.07
"leave",0.07
"machines",0.07
"make",0.07
"products",0.07
"purchase",0.07
"rather",0.07
"receive",0.07
"risk",0.07
"selling",0.07
"tipping",0.07
"tourists",0.07
"vendors",0.07
