"","mosque"
"islamic",0.26
"sultan",0.22
"ali",0.21
"mosques",0.21
"ottoman",0.19
"turkish",0.18
"bazaar",0.17
"muslim",0.17
"muslims",0.15
"dome",0.14
"khan",0.14
"persian",0.14
"built",0.13
"mausoleum",0.13
"tomb",0.13
"al",0.12
"prayer",0.12
"ancient",0.1
"minibuses",0.1
"religious",0.1
"arab",0.09
"arabic",0.09
"byzantine",0.09
"citadel",0.09
"city",0.09
"silk",0.09
"sweets",0.09
"turkey",0.09
"women",0.09
"alleys",0.08
"armed",0.08
"baba",0.08
"camel",0.08
"carpet",0.08
"consult",0.08
"period",0.08
"remains",0.08
"capital",0.07
"complex",0.07
"courtyard",0.07
"government",0.07
"holy",0.07
"minibus",0.07
"shrine",0.07
"taxis",0.07
"used",0.07
"walls",0.07
