"","dublin"
"ireland",0.34
"irish",0.32
"counties",0.13
"county",0.11
"motorway",0.1
"na",0.1
"centre",0.08
"guinness",0.08
"quay",0.08
"terms",0.08
"pubs",0.07
"regarded",0.07
