"","county"
"ohio",0.25
"seat",0.25
"county'''",0.23
"county's",0.22
"counties",0.21
"miles",0.21
"state",0.21
"york",0.18
"courthouse",0.17
"interstate",0.17
"phone",0.16
"sr",0.16
"inn",0.15
"downtown",0.14
"historic",0.14
"ireland",0.14
"st",0.14
"us",0.14
"west",0.14
"ave",0.13
"columbus",0.12
"east",0.12
"home",0.12
"north",0.12
"united",0.12
"washington",0.12
"amtrak",0.11
"community",0.11
"dublin",0.11
"exit",0.11
"florida",0.11
"irish",0.11
"jersey",0.11
"park",0.11
"rd",0.11
"route",0.11
"acre",0.1
"arts",0.1
"dr",0.1
"lincoln",0.1
"rural",0.1
"township",0.1
"transit",0.1
"acres",0.09
"airport'''",0.09
"american",0.09
"antique",0.09
"avenue",0.09
"creek",0.09
"east-west",0.09
"golf",0.09
"grill",0.09
"liberty",0.09
"library",0.09
"mile",0.09
"parkway",0.09
"railroad",0.09
"register",0.09
"society",0.09
"barn",0.08
"basketball",0.08
"blvd",0.08
"california",0.08
"college",0.08
"country",0.08
"drive-",0.08
"franklin",0.08
"highway",0.08
"jackson",0.08
"john",0.08
"lake",0.08
"mill",0.08
"new",0.08
"northeast",0.08
"ny",0.08
"pa",0.08
"penn",0.08
"pizza",0.08
"portion",0.08
"primitive",0.08
"recreation",0.08
"south",0.08
"area",0.07
"bureau",0.07
"deli",0.07
"diner",0.07
"exits",0.07
"horseshoe",0.07
"kennedy",0.07
"motel",0.07
"southwest",0.07
"street",0.07
"turnpike",0.07
"union",0.07
