"","hour"
"half",0.24
"every",0.19
"hours",0.17
"minutes",0.16
"takes",0.14
"bus",0.12
"per",0.12
"drive",0.11
"journey",0.11
"ride",0.11
"walk",0.11
"buses",0.1
"cost",0.1
"costs",0.1
"day",0.1
"free",0.1
"happy",0.1
"minute",0.1
"run",0.1
"station",0.1
"take",0.1
"ticket",0.1
"trip",0.1
"'s",0.09
"around",0.09
"away",0.09
"can",0.09
"get",0.09
"night",0.09
"price",0.09
"rush",0.09
"tickets",0.09
"train",0.09
"trains",0.09
"two",0.09
"car",0.08
"depart",0.08
"double",0.08
"internet",0.08
"leave",0.08
"leaves",0.08
"make",0.08
"nice",0.08
"pay",0.08
"prices",0.08
"taxi",0.08
"terminal",0.08
"tours",0.08
"twice",0.08
"want",0.08
"change",0.07
"daily",0.07
"depending",0.07
"expensive",0.07
"fare",0.07
"less",0.07
"one",0.07
"quite",0.07
"rooms",0.07
"see",0.07
"short",0.07
"stop",0.07
"sure",0.07
"three",0.07
