"","pretty"
"much",0.18
"good",0.14
"'s",0.13
"'re",0.12
"'ll",0.11
"little",0.11
"might",0.11
"want",0.11
"always",0.1
"expensive",0.1
"get",0.1
"probably",0.1
"really",0.1
"usually",0.1
"ask",0.09
"best",0.09
"better",0.09
"bit",0.09
"cheap",0.09
"even",0.09
"find",0.09
"just",0.09
"nice",0.09
"quite",0.09
"sure",0.09
"try",0.09
"almost",0.08
"around",0.08
"especially",0.08
"everything",0.08
"fairly",0.08
"food",0.08
"friendly",0.08
"know",0.08
"like",0.08
"likely",0.08
"locals",0.08
"look",0.08
"make",0.08
"need",0.08
"place",0.08
"prices",0.08
"rather",0.08
"seem",0.08
"unless",0.08
"use",0.08
"will",0.08
"worth",0.08
"'ve",0.07
"anything",0.07
"anywhere",0.07
"avoid",0.07
"drinks",0.07
"expect",0.07
"generally",0.07
"getting",0.07
"go",0.07
"going",0.07
"least",0.07
"lot",0.07
"pay",0.07
"staff",0.07
"without",0.07
