"","rue"
"du",0.55
"des",0.48
"et",0.3
"le",0.3
"de",0.26
"la",0.25
"paris",0.25
"french",0.23
"jean",0.23
"les",0.2
"france",0.19
"au",0.17
"saint",0.16
"boulevard",0.13
"'''la",0.09
"charles",0.09
"louis",0.09
"medieval",0.09
"avenue",0.08
"classified",0.08
"lawrence",0.08
"ryanair",0.08
"cathedral",0.07
"place",0.07
"sur",0.07
