"","buildings"
"building",0.17
"century",0.17
"old",0.16
"built",0.15
"historic",0.15
"hall",0.13
"oldest",0.13
"museum",0.12
"original",0.12
"streets",0.12
"baroque",0.11
"church",0.11
"destroyed",0.11
"history",0.11
"houses",0.11
"late",0.11
"restored",0.11
"still",0.11
"architect",0.1
"churches",0.1
"dating",0.1
"designed",0.1
"former",0.1
"historical",0.1
"square",0.1
"art",0.09
"cathedral",0.09
"city's",0.09
"collection",0.09
"first",0.09
"founded",0.09
"modern",0.09
"older",0.09
"rebuilt",0.09
"remains",0.09
"today",0.09
"walls",0.09
"became",0.08
"brick",0.08
"complex",0.08
"dates",0.08
"early",0.08
"gothic",0.08
"heritage",0.08
"housed",0.08
"many",0.08
"medieval",0.08
"monumental",0.08
"monuments",0.08
"now",0.08
"originally",0.08
"preserved",0.08
"style",0.08
"surviving",0.08
"tram",0.08
"wooden",0.08
"back",0.07
"later",0.07
"layout",0.07
"moved",0.07
"museums",0.07
"objects",0.07
"period",0.07
"preserves",0.07
"several",0.07
"squares",0.07
"student",0.07
"survived",0.07
"ticket",0.07
"trams",0.07
