"","whale"
"watching",0.42
"whales",0.41
"dolphin",0.22
"shark",0.18
"marine",0.16
"dolphins",0.14
"bay",0.11
"cape",0.11
"diving",0.11
"kayaking",0.11
"ocean",0.11
"scuba",0.1
"seals",0.1
"tours",0.1
"tuna",0.1
"waters",0.1
"fishing",0.09
"peninsula",0.09
"tip",0.09
"aboard",0.08
"beach",0.08
"coast",0.08
"creatures",0.08
"cruises",0.08
"dive",0.08
"harbor",0.08
"kayak",0.08
"pacific",0.08
"seal",0.08
"sharks",0.08
"snorkeling",0.08
"surfing",0.08
"adventure",0.07
"charters",0.07
"colony",0.07
"cruise",0.07
"migration",0.07
"sea",0.07
"season",0.07
