"","british"
"bc",0.17
"canada",0.14
"india",0.14
"rule",0.13
"uk",0.12
"fort",0.1
"government",0.1
"indian",0.1
"war",0.1
"britain",0.09
"columbia",0.09
"countries",0.09
"military",0.09
"proof",0.09
"royal",0.09
"airways",0.08
"control",0.08
"currency",0.08
"edward",0.08
"europeans",0.08
"generally",0.08
"london",0.08
"nations",0.08
"now",0.08
"prince",0.08
"provincial",0.08
"require",0.08
"sir",0.08
"territory",0.08
"traders",0.08
"treaty",0.08
"troops",0.08
"victoria",0.08
"arrivals",0.07
"canadian",0.07
"forces",0.07
"insurance",0.07
"used",0.07
"visa",0.07
"widely",0.07
"work",0.07
