"","killed"
"soldiers",0.13
"war",0.1
"battle",0.09
"died",0.09
"killing",0.09
"troops",0.09
"victims",0.09
"attack",0.08
"attacks",0.08
"buried",0.08
"death",0.08
"memorial",0.08
"army",0.07
"attacked",0.07
"destroyed",0.07
"forces",0.07
"government",0.07
"severe",0.07
"took",0.07
"violence",0.07
