"","drive"
"minute",0.17
"hour's",0.16
"inn",0.16
"phone",0.16
"road",0.14
"highway",0.13
"suites",0.13
"downtown",0.12
"driving",0.12
"dr",0.11
"hour",0.11
"short",0.11
"street",0.11
"avenue",0.1
"golf",0.1
"north",0.1
"turn",0.1
"car",0.09
"creek",0.09
"marriott",0.09
"minutes",0.09
"rd",0.09
"scenic",0.09
"south",0.09
"along",0.08
"bedroom",0.08
"dining",0.08
"exit",0.08
"features",0.08
"fitness",0.08
"hwy",0.08
"lane",0.08
"lodge",0.08
"mall",0.08
"mile",0.08
"onto",0.08
"outdoor",0.08
"park",0.08
"parkway",0.08
"pizza",0.08
"transit",0.08
"west",0.08
"bed",0.07
"featuring",0.07
"follow",0.07
"great",0.07
"grill",0.07
"interstate",0.07
"motel",0.07
"rental",0.07
"restaurant",0.07
"right",0.07
"toll",0.07
"us",0.07
