"","santo"
"da",0.21
"dos",0.21
"porto",0.2
"de",0.19
"avenida",0.16
"centro",0.16
"das",0.14
"pedro",0.12
"antonio",0.11
"monte",0.11
"coat",0.1
"maria",0.1
"municipal",0.1
"default",0.09
"del",0.09
"portuguese",0.09
"spanish",0.09
"africa",0.08
"background",0.08
"brazilian",0.08
"formation",0.08
"parque",0.08
"verde",0.08
"francisco",0.07
"grande",0.07
