"","public"
"transport",0.25
"library",0.17
"open",0.13
"system",0.12
"transit",0.12
"downtown",0.11
"access",0.1
"car",0.1
"card",0.1
"free",0.1
"network",0.1
"parking",0.1
"service",0.1
"shopping",0.1
"streets",0.1
"tickets",0.1
"university",0.1
"use",0.1
"areas",0.09
"arts",0.09
"available",0.09
"credit",0.09
"events",0.09
"regional",0.09
"ticket",0.09
"traffic",0.09
"valid",0.09
"art",0.08
"avoid",0.08
"bicycle",0.08
"bought",0.08
"building",0.08
"business",0.08
"city's",0.08
"common",0.08
"driving",0.08
"especially",0.08
"fares",0.08
"features",0.08
"generally",0.08
"including",0.08
"lines",0.08
"mall",0.08
"music",0.08
"need",0.08
"number",0.08
"offers",0.08
"outdoor",0.08
"park",0.08
"parks",0.08
"police",0.08
"private",0.08
"provides",0.08
"runs",0.08
"saturday",0.08
"stores",0.08
"street",0.08
"sunday",0.08
"using",0.08
"variety",0.08
"weekends",0.08
"wi-fi",0.08
"always",0.07
"bike",0.07
"campus",0.07
"concerts",0.07
"dining",0.07
"every",0.07
"friday",0.07
"house",0.07
"include",0.07
"offices",0.07
"often",0.07
"outside",0.07
"school",0.07
"served",0.07
"services",0.07
"shuttle",0.07
"sports",0.07
"suburbs",0.07
"throughout",0.07
"travel",0.07
"united",0.07
"usually",0.07
"well",0.07
