"","simple"
"rooms",0.12
"basic",0.11
"clean",0.11
"'s",0.1
"ask",0.1
"dishes",0.1
"friendly",0.1
"prices",0.1
"bathroom",0.09
"bit",0.09
"cheap",0.09
"decent",0.09
"double",0.09
"even",0.09
"internet",0.09
"make",0.09
"pay",0.09
"per",0.09
"price",0.09
"room",0.09
"staff",0.09
"'re",0.08
"back",0.08
"cost",0.08
"expect",0.08
"food",0.08
"good",0.08
"menu",0.08
"might",0.08
"nicely",0.08
"night",0.08
"offer",0.08
"rp",0.08
"shared",0.08
"sure",0.08
"try",0.08
"usually",0.08
"walk",0.08
"want",0.08
"bathrooms",0.07
"better",0.07
"budget",0.07
"cheaper",0.07
"driver",0.07
"expensive",0.07
"find",0.07
"hard",0.07
"help",0.07
"least",0.07
"leave",0.07
"meals",0.07
"money",0.07
"nice",0.07
"often",0.07
"option",0.07
"others",0.07
"owner",0.07
"paid",0.07
"private",0.07
"set",0.07
"sometimes",0.07
"stay",0.07
"tourist",0.07
"wifi",0.07
