"","amtrak"
"greyhound",0.18
"downtown",0.15
"interstate",0.14
"florida",0.13
"transit",0.13
"united",0.13
"york",0.13
"california",0.12
"inn",0.12
"service",0.12
"ave",0.11
"closest",0.11
"county",0.11
"miles",0.11
"state",0.11
"us",0.11
"commuter",0.1
"exits",0.1
"railroad",0.1
"regional",0.1
"american",0.09
"campus",0.09
"college",0.09
"commercial",0.09
"east",0.09
"parkway",0.09
"washington",0.09
"west",0.09
"airport",0.08
"america's",0.08
"avenue",0.08
"blvd",0.08
"capitol",0.08
"center",0.08
"chicago",0.08
"corridor",0.08
"depot",0.08
"dining",0.08
"historic",0.08
"home",0.08
"lanes",0.08
"mexican",0.08
"provides",0.08
"rail",0.08
"route",0.08
"runs",0.08
"street",0.08
"theater",0.08
"turnpike",0.08
"baseball",0.07
"counties",0.07
"exit",0.07
"grill",0.07
"ln",0.07
"mall",0.07
"new",0.07
"routes",0.07
"served",0.07
"southwest",0.07
"states",0.07
"violent",0.07
