"","happy"
"friendly",0.13
"specials",0.13
"bar",0.11
"cocktails",0.11
"locals",0.11
"menu",0.11
"ask",0.1
"beers",0.1
"drinks",0.1
"free",0.1
"great",0.1
"hour",0.1
"prices",0.1
"staff",0.1
"always",0.09
"bars",0.09
"beer",0.09
"food",0.09
"give",0.09
"live",0.09
"make",0.09
"offers",0.09
"restaurant",0.09
"selection",0.09
"atmosphere",0.08
"delicious",0.08
"dishes",0.08
"favorite",0.08
"fresh",0.08
"fun",0.08
"help",0.08
"little",0.08
"lunch",0.08
"meal",0.08
"music",0.08
"night",0.08
"offer",0.08
"pool",0.08
"price",0.08
"seating",0.08
"sure",0.08
"try",0.08
"vegetarian",0.08
"will",0.08
"'ll",0.07
"best",0.07
"book",0.07
"breakfast",0.07
"cheap",0.07
"coffee",0.07
"day",0.07
"drink",0.07
"driver",0.07
"even",0.07
"feel",0.07
"find",0.07
"full",0.07
"internet",0.07
"keep",0.07
"lounge",0.07
"might",0.07
"money",0.07
"party",0.07
"pay",0.07
"purchase",0.07
"right",0.07
"sell",0.07
"show",0.07
"table",0.07
