"","venue"
"music",0.15
"concert",0.12
"event",0.11
"live",0.11
"theatre",0.11
"bands",0.1
"shows",0.1
"venues",0.1
"arts",0.09
"club",0.09
"concerts",0.09
"hosts",0.09
"leisure",0.09
"pub",0.09
"shopping",0.09
"art",0.08
"bar",0.08
"clubs",0.08
"crowd",0.08
"dance",0.08
"djs",0.08
"eclectic",0.08
"events",0.08
"football",0.08
"hosting",0.08
"jazz",0.08
"league",0.08
"nights",0.08
"opened",0.08
"plays",0.08
"racing",0.08
"seating",0.08
"selection",0.08
"team",0.08
"university",0.08
"acts",0.07
"cinema",0.07
"comedy",0.07
"england",0.07
"features",0.07
"gay",0.07
"london",0.07
"premier",0.07
"stadium",0.07
"street",0.07
"student",0.07
"symphony",0.07
"theater",0.07
"uk",0.07
"weddings",0.07
