"","gay"
"year's",0.13
"eve",0.12
"pride",0.12
"trendy",0.11
"venues",0.11
"clubs",0.1
"crime",0.1
"dance",0.1
"music",0.1
"avoid",0.09
"bars",0.09
"common",0.09
"crowd",0.09
"drag",0.09
"live",0.09
"safe",0.09
"spanish",0.09
"student",0.09
"always",0.08
"card",0.08
"city's",0.08
"convention",0.08
"eclectic",0.08
"electronic",0.08
"film",0.08
"jazz",0.08
"latin",0.08
"law",0.08
"mainstream",0.08
"often",0.08
"optional",0.08
"pay",0.08
"paying",0.08
"sometimes",0.08
"tend",0.08
"think",0.08
"university",0.08
"american",0.07
"boutique",0.07
"cards",0.07
"clay",0.07
"cocktail",0.07
"diverse",0.07
"djs",0.07
"generally",0.07
"ground",0.07
"locations",0.07
"mix",0.07
"nights",0.07
"note",0.07
"scene",0.07
"show",0.07
"teams",0.07
"tipping",0.07
"variety",0.07
"venue",0.07
