"","east"
"west",0.3
"north",0.21
"south",0.18
"'''east",0.17
"miles",0.17
"street",0.15
"downtown",0.14
"inn",0.14
"interstate",0.14
"ave",0.12
"county",0.12
"highway",0.12
"phone",0.12
"avenue",0.11
"northeast",0.11
"route",0.11
"st",0.11
"state",0.11
"exit",0.1
"us",0.1
"american",0.09
"amtrak",0.09
"creek",0.09
"park",0.09
"runs",0.09
"side",0.09
"united",0.09
"western",0.09
"east-west",0.08
"eastern",0.08
"historic",0.08
"hwy",0.08
"motel",0.08
"ohio",0.08
"southeast",0.08
"sr",0.08
"transit",0.08
"arts",0.07
"blvd",0.07
"college",0.07
"features",0.07
"major",0.07
"railroad",0.07
"rd",0.07
"southwest",0.07
