"","lawn"
"cowboy",0.14
"founding",0.13
"nineteenth",0.12
"columns",0.11
"custom",0.1
"wearing",0.1
"formation",0.09
"il",0.09
"prominent",0.08
"railroad",0.08
"corn",0.07
"labor",0.07
"position",0.07
