"","taxis"
"taxi",0.32
"cost",0.21
"driver",0.2
"drivers",0.2
"buses",0.19
"shared",0.19
"ask",0.16
"cheap",0.16
"pay",0.16
"charge",0.15
"available",0.14
"costs",0.14
"expensive",0.14
"fare",0.14
"price",0.14
"prices",0.14
"usually",0.14
"will",0.14
"can",0.13
"expect",0.13
"fixed",0.13
"hotels",0.13
"per",0.13
"try",0.13
"around",0.12
"avoid",0.12
"bus",0.12
"cheaper",0.12
"find",0.12
"leave",0.12
"metered",0.12
"negotiate",0.12
"night",0.12
"passengers",0.12
"rate",0.12
"wait",0.12
"always",0.11
"clean",0.11
"companies",0.11
"depending",0.11
"foreign",0.11
"foreigners",0.11
"generally",0.11
"getting",0.11
"good",0.11
"much",0.11
"quite",0.11
"terminal",0.11
"waiting",0.11
"agree",0.1
"another",0.1
"anywhere",0.1
"bargain",0.1
"bargaining",0.1
"better",0.1
"budget",0.1
"buy",0.1
"cars",0.1
"cheapest",0.1
"drinks",0.1
"fares",0.1
"go",0.1
"know",0.1
"like",0.1
"money",0.1
"option",0.1
"outside",0.1
"places",0.1
"police",0.1
"run",0.1
"sure",0.1
"tend",0.1
"though",0.1
"visa",0.1
"able",0.09
"arrange",0.09
"bars",0.09
"cafes",0.09
"cards",0.09
"careful",0.09
"common",0.09
"depart",0.09
"difficult",0.09
"english",0.09
"especially",0.09
"exchange",0.09
"expats",0.09
"food",0.09
"front",0.09
"get",0.09
"hailed",0.09
"hire",0.09
"hotel",0.09
"internet",0.09
"locals",0.09
"make",0.09
"may",0.09
"might",0.09
"morning",0.09
"normal",0.09
"often",0.09
"people",0.09
"pick",0.09
"plentiful",0.09
"private",0.09
"reliable",0.09
"safe",0.09
"security",0.09
"sometimes",0.09
"speak",0.09
"staff",0.09
"tell",0.09
"tourists",0.09
"travel",0.09
"unless",0.09
"use",0.09
"want",0.09
"work",0.09
"worth",0.09
"accept",0.08
"advisable",0.08
"airlines",0.08
"airport",0.08
"almost",0.08
"also",0.08
"although",0.08
"asking",0.08
"atms",0.08
"bags",0.08
"bazaar",0.08
"bit",0.08
"bottled",0.08
"card",0.08
"carry",0.08
"chinese",0.08
"clubs",0.08
"compared",0.08
"crowded",0.08
"currency",0.08
"day",0.08
"decent",0.08
"dishes",0.08
"distance",0.08
"embassy",0.08
"even",0.08
"everywhere",0.08
"found",0.08
"give",0.08
"going",0.08
"government",0.08
"higher",0.08
"hired",0.08
"however",0.08
"insist",0.08
"journey",0.08
"leaving",0.08
"less",0.08
"longer",0.08
"luggage",0.08
"malaysian",0.08
"market",0.08
"meter",0.08
"minibus",0.08
"minibuses",0.08
"must",0.08
"need",0.08
"nice",0.08
"note",0.08
"offer",0.08
"operate",0.08
"passport",0.08
"paying",0.08
"place",0.08
"ply",0.08
"prepared",0.08
"rank",0.08
"rarely",0.08
"rates",0.08
"reasonable",0.08
"refuse",0.08
"ride",0.08
"rooms",0.08
"safer",0.08
"sell",0.08
"slightly",0.08
"stalls",0.08
"start",0.08
"station",0.08
"streets",0.08
"take",0.08
"time",0.08
"times",0.08
"tipping",0.08
"touts",0.08
"traffic",0.08
"transport",0.08
"trip",0.08
"trying",0.08
"vendors",0.08
"visas",0.08
"way",0.08
"willing",0.08
"without",0.08
"women",0.08
"yellow",0.08
"advance",0.07
"catch",0.07
"different",0.07
"dollars",0.07
"domestic",0.07
"double",0.07
"drop",0.07
"extra",0.07
"far",0.07
"fee",0.07
"flights",0.07
"floor",0.07
"frequent",0.07
"fruit",0.07
"hard",0.07
"homestay",0.07
"hours",0.07
"just",0.07
"keep",0.07
"local",0.07
"loud",0.07
"meat",0.07
"minimum",0.07
"modern",0.07
"mosque",0.07
"motorbikes",0.07
"near",0.07
"ones",0.07
"really",0.07
"relatively",0.07
"see",0.07
"selling",0.07
"serve",0.07
"share",0.07
"shopping",0.07
"someone",0.07
"stand",0.07
"standard",0.07
"takes",0.07
"ticket",0.07
"tourist",0.07
"two",0.07
"ubiquitous",0.07
"upon",0.07
"vans",0.07
"walk",0.07
"wifi",0.07
