"","wall"
"walls",0.14
"dynasty",0.11
"defensive",0.1
"gate",0.1
"han",0.1
"built",0.09
"gates",0.09
"paintings",0.09
"towers",0.09
"walled",0.09
"ancient",0.08
"chinese",0.08
"core",0.08
"decorated",0.08
"der",0.08
"old",0.08
"building",0.07
"china",0.07
"encourage",0.07
"gothic",0.07
"medieval",0.07
"remains",0.07
"shape",0.07
