"","bus"
"buses",0.37
"station",0.33
"terminal",0.24
"train",0.24
"take",0.21
"taxi",0.21
"takes",0.19
"ticket",0.19
"cost",0.18
"costs",0.18
"can",0.17
"get",0.17
"stop",0.17
"tickets",0.17
"leave",0.15
"service",0.15
"stops",0.15
"around",0.14
"direct",0.14
"leaves",0.14
"services",0.14
"transport",0.14
"walk",0.14
"catch",0.13
"driver",0.13
"every",0.13
"fare",0.13
"hours",0.13
"journey",0.13
"ride",0.13
"run",0.13
"trains",0.13
"go",0.12
"hotel",0.12
"hour",0.12
"price",0.12
"regular",0.12
"taxis",0.12
"will",0.12
"ask",0.11
"centre",0.11
"change",0.11
"lines",0.11
"next",0.11
"opposite",0.11
"railway",0.11
"stand",0.11
"trip",0.11
"airport",0.1
"buy",0.1
"cheap",0.1
"cheaper",0.1
"depart",0.1
"frequent",0.1
"going",0.1
"intercity",0.1
"km",0.1
"minutes",0.1
"reach",0.1
"times",0.1
"also",0.09
"another",0.09
"bangkok",0.09
"bought",0.09
"city",0.09
"companies",0.09
"connect",0.09
"departs",0.09
"distance",0.09
"double",0.09
"goes",0.09
"line",0.09
"local",0.09
"near",0.09
"night",0.09
"office",0.09
"operates",0.09
"option",0.09
"pay",0.09
"per",0.09
"stations",0.09
"temple",0.09
"arrive",0.08
"busses",0.08
"car",0.08
"charge",0.08
"daily",0.08
"day",0.08
"directly",0.08
"either",0.08
"expensive",0.08
"express",0.08
"faster",0.08
"hostel",0.08
"hourly",0.08
"inside",0.08
"min",0.08
"morning",0.08
"need",0.08
"nice",0.08
"quite",0.08
"routes",0.08
"runs",0.08
"shuttle",0.08
"timetable",0.08
"tourist",0.08
"transfer",0.08
"travel",0.08
"via",0.08
"way",0.08
"arrives",0.07
"arriving",0.07
"away",0.07
"bus'''",0.07
"cheapest",0.07
"depending",0.07
"drop",0.07
"easily",0.07
"good",0.07
"hotels",0.07
"leaving",0.07
"onward",0.07
"single",0.07
"taking",0.07
"want",0.07
