"","budget"
"mid-range",0.23
"splurge",0.22
"hotels",0.15
"rooms",0.15
"clean",0.14
"cheap",0.13
"expensive",0.13
"internet",0.13
"price",0.13
"prices",0.13
"ask",0.12
"charge",0.12
"cheaper",0.12
"driver",0.12
"hotel",0.12
"night",0.12
"option",0.12
"pay",0.12
"backpacker",0.11
"better",0.11
"cost",0.11
"double",0.11
"food",0.11
"friendly",0.11
"good",0.11
"options",0.11
"per",0.11
"rates",0.11
"room",0.11
"taxi",0.11
"'re",0.1
"always",0.1
"bit",0.1
"buy",0.1
"cheapest",0.1
"drivers",0.1
"find",0.1
"helpful",0.1
"like",0.1
"might",0.1
"money",0.1
"offer",0.1
"private",0.1
"quite",0.1
"range",0.1
"single",0.1
"staff",0.1
"standard",0.1
"start",0.1
"stay",0.1
"sure",0.1
"taxis",0.1
"try",0.1
"wifi",0.1
"atms",0.09
"bars",0.09
"basic",0.09
"bathroom",0.09
"best",0.09
"book",0.09
"booking",0.09
"charges",0.09
"companies",0.09
"decent",0.09
"depending",0.09
"drink",0.09
"especially",0.09
"expect",0.09
"fan",0.09
"foreign",0.09
"free",0.09
"front",0.09
"hot",0.09
"longer",0.09
"luxury",0.09
"make",0.09
"nice",0.09
"offices",0.09
"often",0.09
"operators",0.09
"places",0.09
"quality",0.09
"rate",0.09
"rp",0.09
"tend",0.09
"terminal",0.09
"though",0.09
"travellers",0.09
"will",0.09
"without",0.09
"accept",0.08
"air",0.08
"airlines",0.08
"around",0.08
"available",0.08
"avoid",0.08
"big",0.08
"bungalows",0.08
"cards",0.08
"check",0.08
"choice",0.08
"close",0.08
"compared",0.08
"costs",0.08
"deluxe",0.08
"distance",0.08
"drinks",0.08
"either",0.08
"english",0.08
"even",0.08
"excellent",0.08
"exchange",0.08
"extra",0.08
"fare",0.08
"generally",0.08
"get",0.08
"hostel",0.08
"insist",0.08
"jungle",0.08
"less",0.08
"little",0.08
"locals",0.08
"look",0.08
"low",0.08
"luggage",0.08
"massage",0.08
"may",0.08
"meals",0.08
"modern",0.08
"motorbike",0.08
"need",0.08
"next",0.08
"noisy",0.08
"normally",0.08
"opposite",0.08
"padi",0.08
"paying",0.08
"person",0.08
"pick",0.08
"place",0.08
"popular",0.08
"prepaid",0.08
"quiet",0.08
"rather",0.08
"restaurant",0.08
"rooftop",0.08
"shared",0.08
"side",0.08
"stalls",0.08
"stand",0.08
"star",0.08
"tourists",0.08
"traveller",0.08
"upmarket",0.08
"use",0.08
"usually",0.08
"value",0.08
"vegetarian",0.08
"villas",0.08
"want",0.08
"'ll",0.07
"agent",0.07
"air-con",0.07
"another",0.07
"anywhere",0.07
"attached",0.07
"away",0.07
"bathrooms",0.07
"board",0.07
"booked",0.07
"class",0.07
"cocktails",0.07
"common",0.07
"different",0.07
"dishes",0.07
"dive",0.07
"domestic",0.07
"dorm",0.07
"eat",0.07
"entrance",0.07
"every",0.07
"fixed",0.07
"go",0.07
"hard",0.07
"markets",0.07
"mixed",0.07
"normal",0.07
"offering",0.07
"office",0.07
"operate",0.07
"outside",0.07
"owner",0.07
"plenty",0.07
"police",0.07
"pool",0.07
"priced",0.07
"problem",0.07
"provide",0.07
"reasonable",0.07
"relatively",0.07
"safe",0.07
"sell",0.07
"services",0.07
"set",0.07
"simple",0.07
"slightly",0.07
"ticket",0.07
"tickets",0.07
"tourist",0.07
"touts",0.07
"trip",0.07
"tropical",0.07
"wait",0.07
"walk",0.07
"way",0.07
"well",0.07
