"","reserve"
"nature",0.33
"species",0.12
"forest",0.1
"reserves",0.1
"africa",0.09
"flora",0.09
"hectares",0.09
"natural",0.09
"bird",0.08
"birds",0.08
"game",0.08
"fauna",0.07
"tiger",0.07
"wildlife",0.07
