"","mount"
"'''mount",0.31
"mt",0.14
"mountain",0.13
"alpine",0.1
"rp",0.1
"snow",0.09
"summit",0.09
"crater",0.08
"highest",0.08
"peak",0.08
"slopes",0.08
"volcanic",0.08
"australian",0.07
"climb",0.07
"mountains",0.07
"ski",0.07
"volcano",0.07
