"","staff"
"friendly",0.29
"helpful",0.21
"english",0.16
"prices",0.16
"clean",0.15
"rooms",0.15
"speak",0.15
"cheap",0.14
"food",0.14
"good",0.14
"menu",0.14
"price",0.14
"room",0.14
"ask",0.13
"bit",0.13
"free",0.13
"internet",0.13
"nice",0.13
"night",0.13
"pay",0.13
"air-con",0.12
"always",0.12
"bar",0.12
"book",0.12
"cheaper",0.12
"cost",0.12
"drinks",0.12
"expensive",0.12
"floor",0.12
"help",0.12
"hostel",0.12
"hotel",0.12
"make",0.12
"restaurant",0.12
"speaks",0.12
"try",0.12
"will",0.12
"atmosphere",0.11
"dishes",0.11
"dorms",0.11
"double",0.11
"drivers",0.11
"excellent",0.11
"expect",0.11
"extremely",0.11
"front",0.11
"know",0.11
"next",0.11
"owner",0.11
"per",0.11
"reasonable",0.11
"selection",0.11
"sell",0.11
"sure",0.11
"tickets",0.11
"usually",0.11
"want",0.11
"wi-fi",0.11
"attentive",0.1
"back",0.1
"bars",0.1
"behind",0.1
"better",0.1
"booking",0.1
"breakfast",0.1
"budget",0.1
"buy",0.1
"charge",0.1
"customers",0.1
"delicious",0.1
"dorm",0.1
"drink",0.1
"driver",0.1
"even",0.1
"extra",0.1
"find",0.1
"give",0.1
"great",0.1
"happy",0.1
"including",0.1
"locals",0.1
"look",0.1
"may",0.1
"money",0.1
"offer",0.1
"often",0.1
"pick",0.1
"place",0.1
"pool",0.1
"priced",0.1
"private",0.1
"quality",0.1
"quite",0.1
"rooftop",0.1
"set",0.1
"single",0.1
"slightly",0.1
"speaking",0.1
"standard",0.1
"ticket",0.1
"trip",0.1
"wait",0.1
"walk",0.1
"worth",0.1
"'re",0.09
"'s",0.09
"additional",0.09
"arrange",0.09
"available",0.09
"beer",0.09
"best",0.09
"block",0.09
"close",0.09
"cocktails",0.09
"coffee",0.09
"costs",0.09
"decent",0.09
"depending",0.09
"different",0.09
"door",0.09
"expats",0.09
"fairly",0.09
"feel",0.09
"floors",0.09
"foreign",0.09
"foreigners",0.09
"generally",0.09
"hotels",0.09
"included",0.09
"just",0.09
"laundry",0.09
"little",0.09
"might",0.09
"music",0.09
"note",0.09
"offering",0.09
"offers",0.09
"opposite",0.09
"outside",0.09
"paying",0.09
"provide",0.09
"quiet",0.09
"rates",0.09
"really",0.09
"reasonably",0.09
"relaxed",0.09
"right",0.09
"serves",0.09
"shared",0.09
"shop",0.09
"simple",0.09
"sometimes",0.09
"start",0.09
"table",0.09
"tasty",0.09
"taxi",0.09
"taxis",0.09
"though",0.09
"time",0.09
"tv",0.09
"use",0.09
"value",0.09
"variety",0.09
"vegetarian",0.09
"waiting",0.09
"well",0.09
"wifi",0.09
"able",0.08
"although",0.08
"asking",0.08
"assist",0.08
"authentic",0.08
"avoid",0.08
"backpacker",0.08
"bathroom",0.08
"books",0.08
"building",0.08
"buying",0.08
"cafe",0.08
"card",0.08
"cards",0.08
"cheapest",0.08
"check",0.08
"chinese",0.08
"choice",0.08
"come",0.08
"companies",0.08
"corner",0.08
"crowd",0.08
"difficult",0.08
"especially",0.08
"every",0.08
"exchange",0.08
"fee",0.08
"get",0.08
"guesthouse",0.08
"guests",0.08
"hard",0.08
"include",0.08
"inside",0.08
"japanese",0.08
"kitchen",0.08
"large",0.08
"leave",0.08
"like",0.08
"live",0.08
"location",0.08
"long",0.08
"looking",0.08
"luggage",0.08
"lunch",0.08
"makes",0.08
"manager",0.08
"meal",0.08
"meals",0.08
"meat",0.08
"menus",0.08
"min",0.08
"minute",0.08
"modern",0.08
"much",0.08
"need",0.08
"offices",0.08
"online",0.08
"open",0.08
"option",0.08
"order",0.08
"owners",0.08
"person",0.08
"prepared",0.08
"range",0.08
"rate",0.08
"rather",0.08
"ride",0.08
"roof",0.08
"run",0.08
"security",0.08
"seem",0.08
"selling",0.08
"serve",0.08
"short",0.08
"show",0.08
"sit",0.08
"spacious",0.08
"stalls",0.08
"star",0.08
"stay",0.08
"streets",0.08
"style",0.08
"tables",0.08
"tend",0.08
"tour",0.08
"tours",0.08
"upstairs",0.08
"without",0.08
"young",0.08
"'ll",0.07
"accept",0.07
"advance",0.07
"amazing",0.07
"anyone",0.07
"asian",0.07
"away",0.07
"bathrooms",0.07
"beers",0.07
"bring",0.07
"business",0.07
"busy",0.07
"call",0.07
"careful",0.07
"cater",0.07
"choose",0.07
"classes",0.07
"cocktail",0.07
"courses",0.07
"decor",0.07
"depart",0.07
"desk",0.07
"dinner",0.07
"directly",0.07
"discounts",0.07
"dong",0.07
"downstairs",0.07
"end",0.07
"equipped",0.07
"experience",0.07
"fresh",0.07
"full",0.07
"garden",0.07
"go",0.07
"hand",0.07
"hostels",0.07
"however",0.07
"items",0.07
"least",0.07
"low",0.07
"making",0.07
"massage",0.07
"meet",0.07
"must",0.07
"office",0.07
"opened",0.07
"others",0.07
"passport",0.07
"playing",0.07
"pretty",0.07
"real",0.07
"recently",0.07
"say",0.07
"shower",0.07
"side",0.07
"sim",0.07
"students",0.07
"terrace",0.07
"travel",0.07
"trips",0.07
"two",0.07
"vip",0.07
"walking",0.07
"watch",0.07
"wide",0.07
