"","express"
"inn",0.16
"jr",0.16
"trains",0.16
"limited",0.15
"station",0.14
"japan",0.13
"line",0.12
"train",0.12
"services",0.11
"shinkansen",0.11
"buses",0.1
"japanese",0.1
"rail",0.1
"runs",0.1
"service",0.1
"expwy",0.09
"fare",0.09
"mumbai",0.09
"phone",0.09
"tokyo",0.09
"airport",0.08
"bus",0.08
"delhi",0.08
"dr",0.08
"line'''",0.08
"london",0.08
"operate",0.08
"operated",0.08
"run",0.08
"stops",0.08
"surcharge",0.08
"transit",0.08
"blvd",0.07
"downtown",0.07
"fares",0.07
"free",0.07
"hours",0.07
"mall",0.07
"operates",0.07
"railway",0.07
"shopping",0.07
"stations",0.07
"temple",0.07
"transfer",0.07
