"","movement"
"letters",0.14
"started",0.1
"permission",0.09
"rule",0.09
"currency",0.08
"freedom",0.08
"pressure",0.08
"receiving",0.08
"republic",0.08
"similarly",0.08
"sought",0.08
"wife",0.08
"petty",0.07
"purpose",0.07
"rights",0.07
"theft",0.07
