"","endangered"
"species",0.22
"habitat",0.16
"rare",0.13
"birds",0.12
"nesting",0.12
"refuge",0.12
"migratory",0.11
"wildlife",0.11
"protection",0.1
"bird",0.09
"eggs",0.09
"endemic",0.09
"floating",0.09
"sanctuary",0.09
"turtles",0.09
"declared",0.08
"preserve",0.08
"animals",0.07
"diversity",0.07
