"","sultan"
"mosque",0.22
"mausoleum",0.19
"jalan",0.18
"malaysia",0.15
"malaysian",0.12
"rulers",0.12
"islamic",0.11
"mosques",0.11
"raja",0.11
"al",0.1
"ali",0.1
"appointed",0.1
"muslim",0.1
"ruled",0.1
"tomb",0.1
"conquered",0.09
"minister",0.09
"rule",0.08
"dynasty",0.07
"empire",0.07
"hindu",0.07
"homestay",0.07
"indonesia",0.07
"stall",0.07
"turkish",0.07
