"","reasonable"
"prices",0.22
"food",0.18
"good",0.15
"friendly",0.13
"price",0.13
"excellent",0.11
"expect",0.11
"menu",0.11
"pay",0.11
"selection",0.11
"staff",0.11
"atmosphere",0.1
"cheap",0.1
"choice",0.1
"expensive",0.1
"lunch",0.1
"nice",0.1
"quality",0.1
"restaurant",0.1
"rooms",0.1
"try",0.1
"variety",0.1
"available",0.09
"bar",0.09
"beer",0.09
"better",0.09
"bit",0.09
"clean",0.09
"decent",0.09
"delicious",0.09
"dishes",0.09
"great",0.09
"internet",0.09
"items",0.09
"night",0.09
"place",0.09
"priced",0.09
"quite",0.09
"serves",0.09
"sure",0.09
"want",0.09
"'re",0.08
"always",0.08
"ask",0.08
"avoid",0.08
"bars",0.08
"best",0.08
"cost",0.08
"dinner",0.08
"drinks",0.08
"drivers",0.08
"floor",0.08
"free",0.08
"generally",0.08
"helpful",0.08
"hotel",0.08
"just",0.08
"like",0.08
"locals",0.08
"meal",0.08
"money",0.08
"next",0.08
"offering",0.08
"offers",0.08
"often",0.08
"provide",0.08
"range",0.08
"rates",0.08
"reasonably",0.08
"recently",0.08
"right",0.08
"room",0.08
"sell",0.08
"standard",0.08
"taxis",0.08
"thai",0.08
"'s",0.07
"also",0.07
"authentic",0.07
"book",0.07
"budget",0.07
"charge",0.07
"cheaper",0.07
"day",0.07
"driver",0.07
"especially",0.07
"every",0.07
"extremely",0.07
"fare",0.07
"feel",0.07
"find",0.07
"indian",0.07
"local",0.07
"look",0.07
"lots",0.07
"make",0.07
"modern",0.07
"negotiate",0.07
"offer",0.07
"paying",0.07
"places",0.07
"rate",0.07
"shop",0.07
"stalls",0.07
"tasty",0.07
"traffic",0.07
"usually",0.07
"vegetarian",0.07
"wide",0.07
"will",0.07
