"","single"
"double",0.29
"room",0.18
"rooms",0.18
"bathroom",0.13
"per",0.13
"cable",0.12
"ticket",0.12
"bathrooms",0.11
"costs",0.11
"expensive",0.11
"internet",0.11
"night",0.11
"price",0.11
"tickets",0.11
"triple",0.11
"tv",0.11
"budget",0.1
"cost",0.1
"free",0.1
"pay",0.1
"prices",0.1
"staff",0.1
"two",0.1
"accept",0.09
"card",0.09
"cards",0.09
"charge",0.09
"cheap",0.09
"cheaper",0.09
"clean",0.09
"dorm",0.09
"even",0.09
"expect",0.09
"extra",0.09
"hotel",0.09
"money",0.09
"outside",0.09
"person",0.09
"shared",0.09
"standard",0.09
"valid",0.09
"additional",0.08
"beds",0.08
"bit",0.08
"booking",0.08
"buying",0.08
"cash",0.08
"cheapest",0.08
"customary",0.08
"day",0.08
"depending",0.08
"every",0.08
"fare",0.08
"floor",0.08
"ground",0.08
"hostel",0.08
"luggage",0.08
"make",0.08
"may",0.08
"note",0.08
"office",0.08
"often",0.08
"paying",0.08
"pension",0.08
"private",0.08
"quite",0.08
"starting",0.08
"three",0.08
"times",0.08
"try",0.08
"use",0.08
"usually",0.08
"whole",0.08
"wifi",0.08
"without",0.08
"almost",0.07
"always",0.07
"ask",0.07
"avoid",0.07
"basic",0.07
"book",0.07
"booked",0.07
"bus",0.07
"buy",0.07
"common",0.07
"credit",0.07
"drivers",0.07
"generally",0.07
"leave",0.07
"machines",0.07
"might",0.07
"modern",0.07
"next",0.07
"others",0.07
"reception",0.07
"return",0.07
"slightly",0.07
"start",0.07
"tend",0.07
"time",0.07
"trams",0.07
"trip",0.07
"units",0.07
"unlimited",0.07
"will",0.07
