"","et"
"du",0.31
"rue",0.3
"des",0.28
"le",0.21
"au",0.19
"la",0.17
"de",0.15
"french",0.15
"les",0.14
"france",0.12
"jean",0.12
"saint",0.12
"paris",0.1
"sur",0.08
"medieval",0.07
"roman",0.07
