"","college"
"campus",0.34
"university",0.28
"colleges",0.23
"liberal",0.22
"students",0.19
"arts",0.18
"downtown",0.18
"student",0.15
"home",0.13
"performing",0.13
"academic",0.12
"ave",0.12
"avenue",0.12
"inn",0.12
"state",0.12
"american",0.11
"community",0.11
"convention",0.11
"features",0.11
"institute",0.11
"st",0.11
"street",0.11
"theatre",0.11
"art",0.1
"dr",0.1
"historic",0.1
"mall",0.1
"phone",0.1
"transit",0.1
"york",0.1
"america's",0.09
"amtrak",0.09
"authority",0.09
"baseball",0.09
"brewing",0.09
"center",0.09
"education",0.09
"favorite",0.09
"greyhound",0.09
"interstate",0.09
"league",0.09
"medical",0.09
"new",0.09
"pizza",0.09
"school",0.09
"science",0.09
"su",0.09
"theater",0.09
"united",0.09
"upscale",0.09
"bar",0.08
"basketball",0.08
"brunch",0.08
"chicago",0.08
"coffee",0.08
"county",0.08
"courthouse",0.08
"deli",0.08
"featuring",0.08
"football",0.08
"library",0.08
"live",0.08
"memorial",0.08
"music",0.08
"programs",0.08
"ranked",0.08
"specials",0.08
"stadium",0.08
"suites",0.08
"team",0.08
"us",0.08
"variety",0.08
"blvd",0.07
"east",0.07
"events",0.07
"grill",0.07
"hall",0.07
"leaf",0.07
"major",0.07
"marriott",0.07
"mexican",0.07
"park",0.07
"plays",0.07
"rd",0.07
"register",0.07
"sandwiches",0.07
"seniors",0.07
"service",0.07
"shows",0.07
"sports",0.07
"sushi",0.07
"teams",0.07
"throughout",0.07
"vegan",0.07
"wings",0.07
